issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,"Account/Access: restore access, admin-only actions, seat management",team_and_enterprise_plans,Escalated,product_issue,"The issue involves restoring access to a Claude team workspace, which is an account/access issue requiring admin intervention. According to Claude's documentation, only organization admins or primary owners can manage user access and seat assignments (Document 1). Therefore, this request needs to be escalated to the appropriate admin or support team for resolution."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"Hello,

Thank you for reaching out. I understand your concern regarding the test score and the outcome of your application. However, HackerRank does not participate in hiring decisions or have the authority to review or alter test scores. We also cannot communicate with the hiring company on behalf of candidates.

If you believe there was an issue with the test grading, I recommend contacting the recruiter or hiring team directly to discuss your concerns. They have full control over the hiring process and can provide further assistance.

If there are any technical issues you encountered during the test, please let us know, and we can assist with troubleshooting.

Best regards,

[Your Name]",general_help,Replied,invalid,"The request to review and change test scores is not within HackerRank's scope, as the platform does not participate in hiring decisions or modify scores post-assessment. HackerRank advises candidates to contact their recruiter or hiring team for such issues, as stated in the documentation (Document 3)."
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,Billing/Financial,consumer,Escalated,product_issue,"The user is experiencing an issue with a transaction made using their Visa card, where the merchant sent the wrong product and is unresponsive. According to Visa's consumer support documentation, disputes such as these should be handled by contacting the card issuer or bank, as they are responsible for resolving charge disputes (source: data/visa/support.md). The request for a refund and action against the merchant involves financial and account-related actions that require escalation to the appropriate Visa support team."
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,Billing/Financial,hackerrank_community,Escalated,product_issue,"The user is experiencing an issue with mock interviews stopping unexpectedly and is requesting a refund. According to HackerRank's refund policy, if a user is not satisfied with their mock interview, they can contact support for a refund review (source: data/hackerrank/hackerrank_community/subscriptions-payments-and-billing/3282259518-purchase-mock-interviews.md). This situation involves a financial transaction, thus it should be escalated to handle the refund request appropriately."
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,Billing/Financial,settings,Escalated,product_issue,"The ticket involves a payment issue related to a specific order ID, which falls under billing and financial concerns. According to the rules, any billing or financial issues should be escalated for further assistance. The relevant documentation from HackerRank indicates that billing issues, such as updating payment methods or downloading invoices, are managed through the billing section, but specific payment disputes or issues would require escalation to support. Therefore, this ticket should be escalated to address the payment issue with the order ID provided."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"Compliance/Legal: infosec forms, data requests, legal processes",settings,Escalated,product_issue,"The request involves assistance with the infosec process of the user's company, which likely includes filling out security and compliance forms. This falls under compliance/legal issues, which require escalation as they involve legal processes and potentially sensitive information. The retrieved document on GDPR FAQs for HackerRank indicates that such requests are typically handled by the support team or through a Customer Success Manager, suggesting the need for escalation to the appropriate team. (Source: data/hackerrank/settings/gdpr-and-nyc-ai-laws/2634495557-gdpr-faqs-for-hackerrank-for-work.md)"
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,"Hello,

It seems like you're having trouble accessing the ""Apply"" tab on HackerRank. Please note that the ""Apply"" tab has been deprecated as part of an update to simplify the user experience on the platform. However, the features previously available under the ""Apply"" tab can still be accessed through other sections.

Here's where you can find some of the features:

- **Mock Interviews**: Available under the **Prepare** tab or directly [here](https://www.hackerrank.com/mock-interviews).
- **Coding Challenges**: Available in the **Prepare** tab.
- **Role Certification Tests**: Accessible through the **Certify** tab.
- **Résumé Review**: Available [here](https://www.hackerrank.com/resume).

Unfortunately, job listings have been removed following the deprecation of the ""Apply"" tab. If you have any further questions or need assistance, you can contact HackerRank Support at [help@hackerrank.com](mailto:help@hackerrank.com).

Best regards,
[Your Name]",hackerrank_community,Replied,product_issue,"The issue described relates to the deprecation of the 'Apply' tab on the HackerRank platform. According to the documentation, the 'Apply' tab has been deprecated as part of an update to simplify the user experience. Features previously available under the 'Apply' tab have been relocated to other sections of the platform, such as the 'Prepare' tab for mock interviews and coding challenges. Users can no longer access job listings through the 'Apply' tab as it has been removed. This information is detailed in the document about the notification of changes to the platform (Document 4)."
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,Insufficient info,general_help,Escalated,bug,"The user reports that none of their submissions across any challenges are working on the HackerRank website. This issue could be due to a variety of reasons such as browser compatibility, internet connection, or a platform-wide issue. However, the ticket lacks specific details about the error messages or steps taken, making it difficult to diagnose the problem directly from the documentation. Therefore, it should be escalated for further investigation by support."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"Hello,

I'm sorry to hear you're experiencing issues with Zoom connectivity during the compatibility check. Here are some steps you can follow to resolve this issue:

1. **Network Configuration**: Ensure that the following domains are not blocked in your organization's network:
   - `*.zoom.us`
   - `*.*.zoom.us`
   - `zoom.us`

2. **Browser Compatibility**: Make sure you are using the latest version of a supported browser such as Google Chrome, Microsoft Edge, or Mozilla Firefox.

3. **System Compatibility Check**: Visit the [HackerRank Compatibility](https://www.hackerrank.com/compatibility) page to verify that all system parameters are configured correctly.

If you continue to experience issues, please contact [support@hackerrank.com](mailto:support@hackerrank.com) and include a screenshot of the error message for further assistance.

Best regards,

[Your Name]",interviews,Replied,product_issue,"The issue described relates to a problem with Zoom connectivity during a compatibility check for HackerRank Interviews. The retrieved document on 'Audio and Video Calls in Interviews Powered by Zoom' provides guidance on ensuring that certain domains are not blocked to enable Zoom-powered calls. The user should ensure that the domains '*.zoom.us', '*.*.zoom.us', and 'zoom.us' are not blocked in their network settings. Additionally, using the latest versions of supported browsers like Google Chrome, Microsoft Edge, or Mozilla Firefox is recommended for optimal performance. This information should help resolve the connectivity issue."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,Account/Access,general_help,Escalated,product_issue,"The request is related to rescheduling a HackerRank assessment, which typically requires intervention from the hiring team or recruiter, as HackerRank does not handle rescheduling directly. According to the documentation, HackerRank redirects such requests to the recruiter's team to ensure the organization retains full decision control (source: data/hackerrank/general-help/additional-resources/6477583642-ensuring-a-great-candidate-experience.md). Therefore, this request should be escalated to the appropriate hiring team for action."
